URL,SLOC,NOC,NOM,DIT,RFC,CBO,WMC
https://github.com/surtecha/karman,4893,91,425,91,781,23,879
https://github.com/rohitsangwan01/uni_control_hub,3489,140,473,193,738,9,981
https://github.com/Predidit/BiliNeo,7364,208,2366,185,3034,101,3289
https://github.com/JGeek00/linkdy,5221,117,275,108,330,3,787
https://github.com/onlyGuo/chatgpt_desktop,2335,50,121,49,260,6,273
https://github.com/chicring/Themby,8405,243,672,229,958,39,1439
https://github.com/GalenBlabla/Hiddify-with-V2board,13016,403,1304,418,1867,63,2909
https://github.com/thelooter/labplus_for_gitlab,13503,379,1390,364,2374,65,2750
https://github.com/sunarya-thito/shadcn_flutter,24890,656,2478,603,4198,665,6767
https://github.com/brandonp2412/FitBook,14706,207,1959,204,2494,199,2809
https://github.com/judemont/reciper,1127,31,84,31,174,14,179
https://github.com/mkobuolys/ai-photo-scavenger-hunt,490,46,91,50,98,34,130
https://github.com/mumu-lhl/Ciyue,1150,54,178,56,223,27,259
https://github.com/paulocode/multimesh,20383,440,5053,433,6731,387,6154
https://github.com/yubo725/flutter-osc,2861,55,169,54,503,29,422
